username,userid,profile_location,created_at,text,retweet_count,source,coordinates
fiona stafford,1461544800050577409,"Bellevue, WA",2023-01-21 17:47:01,Thereâ€™s unbelievable wealth here in Greater Seattle but the sheeple here &amp; the local Microsoft/Amazon/Google Exes aâ€¦ https://t.co/gix9HeASz0,0,Twitter for iPhone,
Sean Reynolds,623233155,"Bellevue, WA",2023-01-20 21:26:51,"Fentanyl fuels record homeless deaths in Seattle area
https://t.co/NrA2stwINr
https://t.co/NrA2stwINr",0,Zapier.com,
Summit Properties NW,3010457868,"Bellevue, Wa",2023-01-20 21:26:51,"Fentanyl fuels record homeless deaths in Seattle area
https://t.co/BSE9XiWtkQ",0,Zapier.com,
James Pro-Choice Bonz,22228174,Bellevue Washington,2023-01-20 19:17:38,Gallery owner who hosed homeless woman in San Francisco arrested - BBC News https://t.co/xkQqn3XPUC,0,Twitter Web App,
Sean Reynolds,623233155,"Bellevue, WA",2023-01-20 19:06:28,"7-Eleven stores in Texas, California, New York use classical music to shoo homeless people
https://t.co/DUY46E67pC
https://t.co/DUY46E67pC",0,Zapier.com,
Summit Properties NW,3010457868,"Bellevue, Wa",2023-01-20 19:06:27,"7-Eleven stores in Texas, California, New York use classical music to shoo homeless people
https://t.co/HEPjP2vpzU",0,Zapier.com,
Manny Manny,753108977517551616,"Bellevue, WA",2023-01-20 05:10:00,"@KristiNoem This same children will become homeless which you donâ€™t care about , hypocrisy at its highest peak",0,Twitter for iPhone,
Randy Winn,6701212,"Mercer Island, WA, USA",2023-01-18 23:59:43,"@JohninHermosa @TheLeadCNN @christyNHC @mshields007 @kasie @MarioDParker Yes, these are exactly the same thing. Cheâ€¦ https://t.co/oaPuFPiYPg",0,Twitter Web App,
Sean Reynolds,623233155,"Bellevue, WA",2023-01-18 18:12:46,"Tribune quizzes Mayor ted on Homeless Encampment Plans
https://t.co/JgaOSWZUDr
https://t.co/JgaOSWZUDr",0,Zapier.com,
Summit Properties NW,3010457868,"Bellevue, Wa",2023-01-18 18:12:45,"Tribune quizzes Mayor ted on Homeless Encampment Plans
https://t.co/LWseFHpkmC",0,Zapier.com,
James Pro-Choice Bonz,22228174,Bellevue Washington,2023-01-18 17:40:46,"(85) Cop Who Gave Feces Sandwich To Homeless Man, Fired AGAIN - YouTube https://t.co/52dAcmPy7B",0,Twitter Web App,
Curt,1452371568441528323,"Bellevue, WA",2023-01-18 17:11:06,@BrandiKruse @KIRONewsradio Ask him why is he thinking about any new taxes or fees when inflation is out of controlâ€¦ https://t.co/abetEDZnkG,0,Twitter for iPhone,
Piotr Zak,1597751802770096128,"Mercer Island, WA",2023-01-18 03:21:33,@Kent_WA this is what failure looks like take a drive along the green river rd. Once a beautiful place to go fishinâ€¦ https://t.co/AgQyZVSTcE,0,Twitter for iPhone,
2PartySystemSucks,1589781744001028096,"Mercer Island, WA",2023-01-17 18:01:55,@Shirley56733062 @stefan_adrian15 Itâ€™s not them. You have to look a lot closer to home. Where do you think the Demsâ€¦ https://t.co/VcT48mTbIW,0,Twitter for iPhone,
MoonChimeFamily ðŸ‡µðŸ‡¸,1451220860874887178,"Bellevue, WA",2023-01-17 01:22:43,@aztecpower @theRealKiyosaki He did do something... He ran multiple heists on the Treasury for him and his friends.â€¦ https://t.co/2sz4obA5ni,0,Twitter for Android,
Sean Reynolds,623233155,"Bellevue, WA",2023-01-16 21:11:59,"Art gallery owner who hosed down homeless person in SF finds it 'hard to apologize'
https://t.co/ju0TqeWsb0
https://t.co/ju0TqeWsb0",0,Zapier.com,
Summit Properties NW,3010457868,"Bellevue, Wa",2023-01-16 21:11:58,"Art gallery owner who hosed down homeless person in SF finds it 'hard to apologize'
https://t.co/fvzKiQrkUP",0,Zapier.com,
MoonChimeFamily ðŸ‡µðŸ‡¸,1451220860874887178,"Bellevue, WA",2023-01-16 00:18:08,@KING5Seattle $4 billion is $93 per homeless individual in King County alone. Sounds suspicious to me. Where is the money going? ðŸ¤”,0,Twitter for Android,
Sean Reynolds,623233155,"Bellevue, WA",2023-01-15 17:12:31,"Advocates say San Francisco is still sweeping homeless camps against court order
https://t.co/eobXkfEQku
https://t.co/eobXkfEQku",0,Zapier.com,
Summit Properties NW,3010457868,"Bellevue, Wa",2023-01-15 17:12:30,"Advocates say San Francisco is still sweeping homeless camps against court order
https://t.co/ZL4gB4Wqmu",0,Zapier.com,
David Miller,881795855916781568,"Bellevue, WA",2023-01-15 14:15:27,"@healthbyjames It will be interesting how history records this,half the population wanted the other half to be forcâ€¦ https://t.co/Sv6druPeHv",0,Twitter Web App,
